x,y
0.0,0.0
0.01,0.6499510915353313
0.02,1.2430099961825227
0.03,1.7309826302501778
0.04,2.0815412123609236
0.05,2.2826159966074693
0.06,2.3432772235331627
0.07,2.2910203851885633
0.08,2.1660257984288265
0.09,2.013509314002074
0.1,1.8756127510223157
0.11,1.7843391712735082
0.12,1.7568105885993628
0.13,1.793659251210432
0.14,1.8807485588605377
0.15,1.993774228019843
0.16,2.1047440866945997
0.17,2.188981230609697
0.18,2.231207270883506
0.19,2.229456069258414
0.2,2.1960056587365435
0.21,2.155112215176741
0.22,2.137969702674949
0.23,2.1758784349673737
0.24,2.2929767718869494
0.25,2.4999999999999996
0.26,2.79035654621666
0.27,3.1393857831708045
0.28,3.5070639145323277
0.29,3.84376806618077
0.3,4.098118691326851
0.31,4.225509526114957
0.32,4.195781772340883
0.33,3.998635335541735
0.34,3.6457705722461777
0.35000000000000003,3.169344732604789
0.36,2.6169976642298947
0.37,2.04432571833904
0.38,1.5061441214707556
0.39,1.0480900659041537
0.4,0.7000422464373699
0.41000000000000003,0.47248282845049516
0.42,0.3563716934967879
0.43,0.32644588373118627
0.44,0.34722376667662047
0.45,0.3805029640171628
0.46,0.39288536135689356
0.47000000000000003,0.3618884183928008
0.48,0.27950264797909286
0.49,0.15257131720562234
0.5,3.0616169978683826e-16
0.51,-0.15257131720562178
0.52,-0.27950264797909247
0.53,-0.3618884183928006
0.54,-0.39288536135689384
0.55,-0.3805029640171627
0.56,-0.34722376667662
0.5700000000000001,-0.3264458837311846
0.58,-0.35637169349678743
0.59,-0.47248282845049433
0.6,-0.700042246437369
0.61,-1.0480900659041517
0.62,-1.5061441214707538
0.63,-2.0443257183390378
0.64,-2.6169976642298947
0.65,-3.1693447326047886
0.66,-3.645770572246181
0.67,-3.998635335541736
0.68,-4.195781772340884
0.6900000000000001,-4.225509526114958
0.7000000000000001,-4.0981186913268495
0.71,-3.843768066180773
0.72,-3.5070639145323286
0.73,-3.139385783170806
0.74,-2.790356546216659
0.75,-2.500000000000001
0.76,-2.292976771886952
0.77,-2.1758784349673745
0.78,-2.1379697026749493
0.79,-2.155112215176739
0.8,-2.196005658736544
0.81,-2.2294560692584136
0.8200000000000001,-2.231207270883506
0.8300000000000001,-2.1889812306096967
0.84,-2.1047440866946014
0.85,-1.9937742280198443
0.86,-1.8807485588605377
0.87,-1.7936592512104323
0.88,-1.7568105885993615
0.89,-1.7843391712735082
0.9,-1.8756127510223162
0.91,-2.0135093140020746
0.92,-2.166025798428825
0.93,-2.2910203851885615
0.9400000000000001,-2.3432772235331623
0.9500000000000001,-2.2826159966074706
0.96,-2.0815412123609263
0.97,-1.730982630250179
0.98,-1.2430099961825265
0.99,-0.6499510915353317
